"Real","Predicted","Probability"
0,0,0.033390664482506
0,0,0.0283049560926793
0,0,0.0460854236635624
0,0,0.0376197648553242
0,0,0.0434087158738398
0,0,0.0430550928604483
1,0,0.0586056205627396
0,0,0.0302150024530561
0,0,0.0696988899332876
0,0,0.0304449758429629
0,0,0.00993805758771854
0,0,0.073915609815367
0,0,0.0434445470868612
0,0,0.0108962229418761
0,0,0.0444271721227019
0,0,0.027610557892585
0,0,0.0639304147876272
0,0,0.0294108459665451
0,0,0.0520716877917568
0,0,0.0501239356716146
0,0,0.0667288926685071
0,0,0.0501057997649249
0,0,0.0924238550336148
0,0,0.0240992662836748
0,0,0.0475900843145755
0,0,0.029699575314817
0,0,0.128711124117253
0,0,0.152511063302931
0,0,0.104913552296904
0,0,0.0900159584581977
0,0,0.0295733895483683
1,0,0.0492290939596563
0,0,0.0300163992027957
0,0,0.0471786183077904
0,0,0.0315987812034836
1,0,0.168758827179079
0,0,0.0504389033686195
0,0,0.0357134560780081
0,0,0.116568802008644
0,0,0.0487402610876199
0,0,0.0352013106476175
0,0,0.0366474503518717
0,0,0.026402799094959
0,0,0.083003798918865
0,0,0.0556776211610999
0,0,0.0707600350393096
0,0,0.0406916565796621
0,0,0.0364834885859872
0,0,0.0276635951400193
0,0,0.0352868268470447
0,0,0.0447276796242251
0,0,0.104478275827704
0,0,0.0600570412212431
0,0,0.0344302728233571
0,0,0.0530942023959671
0,0,0.0335823441096648
0,0,0.0558857966058489
0,0,0.122325069838913
0,0,0.0689673302189501
0,0,0.140721744642959
0,0,0.0272261573307218
0,0,0.0279869584937467
0,0,0.0400232194970942
0,0,0.0483594568351826
0,0,0.0420242351410489
0,0,0.0730659135306112
0,0,0.0371949447615181
0,0,0.0928916528000512
0,0,0.0298387503191552
0,0,0.1055002618293
0,0,0.0601162560712816
0,0,0.062676349375677
0,0,0.0198977712470336
0,0,0.0316636789946679
0,0,0.0383884064377908
0,0,0.075751412072259
0,0,0.042067797772917
0,0,0.0793958694848709
0,0,0.0548018398328415
0,0,0.00269524205459013
0,0,0.018790428018477
0,0,0.0329720336751563
0,0,0.0237240987457096
0,0,0.0453981877986446
0,0,0.0274224063788671
1,0,0.035906617950721
0,0,0.00528810720278309
0,0,0.108207885162832
0,0,0.0250229089239771
0,0,0.111558787285357
0,0,0.111503801102451
0,0,0.0246132596598368
0,0,0.0431712949883083
0,0,0.0978810989444975
1,0,0.104947542445322
0,0,0.0398908321377353
0,0,0.0424559845137291
0,0,0.0295413835447452
0,0,0.0492944869839969
1,0,0.182633824834374
0,0,0.0488358091263784
0,0,0.0769001033733278
1,0,0.111503801102451
0,0,0.0279954309041533
0,0,0.114732124105496
0,0,0.0594632664269016
0,0,0.0269552862656829
0,0,0.0554194064639573
0,0,0.0119550247403191
0,0,0.0159494137567371
0,0,0.0113429750650435
0,0,0.0456470173979995
0,0,0.0211044318963751
0,0,0.0259696213539811
0,0,0.0326363778098258
0,0,0.043587140566809
0,0,0.0968711260220295
0,0,0.0301562470198966
0,0,0.0592391023418126
0,0,0.0837150741061838
0,0,0.0607759530917934
0,0,0.0601162560712816
0,0,0.00789898760937215
0,0,0.0594632664269016
0,0,0.0266189827293436
0,0,0.0163491753082545
0,0,0.132912883700863
0,0,0.0608590658168046
0,0,0.0212350671066023
0,0,0.0182580830201101
0,0,0.0430417343705755
0,0,0.0517554645313282
0,0,0.0290785576068339
0,0,0.0154668718024303
0,0,0.0451327938815449
0,0,0.0419613711237585
0,0,0.0240163876632392
0,0,0.0522348880049185
0,0,0.0250280266372882
0,0,0.04667895795183
0,0,0.0266719442217412
0,0,0.0336813451185795
0,0,0.0200672607287399
0,0,0.0144088934111208
0,0,0.0196264117840313
0,0,0.0893157773495809
0,0,0.0781269544253845
0,0,0.106259460868392
0,0,0.0743475876812719
0,0,0.0481989906326897
0,0,0.0429891850368126
0,0,0.0548507556881465
0,0,0.0487124621528349
0,0,0.0752284035277987
0,0,0.0489136635720186
0,0,0.0197582456730121
0,0,0.048853311506812
0,0,0.0368950028109533
0,0,0.0445117832107615
0,0,0.0869622747343698
0,0,0.0206184082345455
0,0,0.0304735043119157
0,0,0.0536145620126118
0,0,0.0553699638572705
0,0,0.0683461129336854
0,0,0.0118395758684988
0,0,0.0773069621361875
0,0,0.0517501045367569
0,0,0.0671368382479248
0,0,0.0128913964982809
0,0,0.106110084435025
0,0,0.0355875605413892
0,0,0.0231285573266994
0,0,0.0138455763624809
0,0,0.029581750393889
0,0,0.0828822708808572
0,0,0.0283194643641046
0,0,0.0482079956974497
0,0,0.0627795628282963
0,0,0.0290224620780248
0,0,0.00922869160295211
0,0,9.80321057560676e-14
0,0,0.0594632664269016
0,0,0.0780255909755525
0,0,0.00534290332221557
0,0,0.0252911315962444
0,0,0.110358173492262
0,0,0.0349627693031966
0,0,0.116049604361743
0,0,0.0456278591647254
0,0,0.00808347383898293
0,0,0.031786274269275
0,0,0.0449066506904345
0,0,0.0405484349378722
0,0,0.0607322642068919
0,0,0.0344919520824376
0,0,0.0340393293397032
0,0,0.0236455174581046
0,0,0.0145769475975126
0,0,0.0300587709142744
0,0,0.0292948193178298
0,0,0.04284078517934
0,0,0.0144613165059681
0,0,0.0247538671171929
0,0,0.062053457153926
0,0,0.0337454229582149
0,0,0.027253271860521
0,0,0.0417268883744188
0,0,0.0232538322910258
0,0,0.0302605362485665
0,0,0.0244998606330733
0,0,0.0910173134227188
0,0,0.0255341747913568
0,0,0.0225897613144712
0,0,0.0402269107376522
0,0,0.0770677653054967
0,0,0.0080527690791626
0,0,0.012988124667964
0,0,0.0391624612718759
0,0,0.0788343142863
0,0,0.0786454553496382
